Address,Date time,Minimum Temperature,Maximum Temperature,Temperature,Dew Point,Relative Humidity,Heat Index,Wind Speed,Wind Gust,Wind Direction,Wind Chill,Precipitation,Precipitation Cover,Snow Depth,Visibility,Cloud Cover,Sea Level Pressure,Weather Type,Latitude,Longitude,Resolved Address,Name,Info,Conditions
"Paris, France",16-02-2020,48,64.2,57.1,47.3,70.25,,23.2,58.5,225.58,43.5,0,4.17,,10.3,11.4,1010.1,"Drizzle, Rain, Light Rain",48.85718,2.34141,"Paris, France",,,Clear
"Paris, France",17-02-2020,43.5,54.3,48.5,41.1,76.33,,18.2,38,239.83,38,0,4.17,,11.2,10.9,1018.4,"Rain, Light Rain",48.85718,2.34141,"Paris, France",,,Clear
"Paris, France",18-02-2020,39.1,51.4,45.4,37.1,73.59,,14.1,33.3,238.25,34.9,0,0,,11.4,5.1,1026.7,,48.85718,2.34141,"Paris, France",,,Clear
"Paris, France",19-02-2020,41.7,49.9,45.4,40,81.8,,13.9,31.1,254.58,36.2,0.2,12.5,,10.1,13,1024.6,"Rain, Light Drizzle/Rain, Light Rain",48.85718,2.34141,"Paris, France",,,"Rain, Clear"
"Paris, France",20-02-2020,42.7,51.7,47.5,42.4,82.58,,16.8,44.6,233.75,37.9,0,4.17,,10.9,13.2,1020.4,"Mist, Rain, Light Rain",48.85718,2.34141,"Paris, France",,,Clear
"Paris, France",21-02-2020,36.6,50.5,43.7,35.4,73.4,,10.3,25.3,239.67,32.7,0,0,,11.2,2.9,1030,,48.85718,2.34141,"Paris, France",,,Clear
"Paris, France",22-02-2020,41.2,55.3,48.5,40.9,75.44,,15.7,30,230.38,34.8,0,0,,11.3,8,1028.2,,48.85718,2.34141,"Paris, France",,,Clear
"Paris, France",23-02-2020,49.5,56.1,52.7,48.6,85.9,,16.1,39.1,239.62,44.8,0,0,,10.6,17.2,1025.5,"Mist, Light Drizzle/Rain",48.85718,2.34141,"Paris, France",,,Clear
"Paris, France",24-02-2020,49.9,55.2,52.8,48,84.17,,18.6,38,238.08,45.1,0,4.17,,10.7,16.7,1019.6,"Drizzle, Mist, Light Drizzle, Light Drizzle/Rain, Light Rain",48.85718,2.34141,"Paris, France",,,Clear
"Paris, France",25-02-2020,40.2,52.2,46.9,41,80.27,,17.9,54,260.42,32.8,0.1,29.17,,9.8,12.2,1006.8,"Mist, Light Drizzle, Rain, Light Rain",48.85718,2.34141,"Paris, France",,,"Rain, Clear"
